Animal,gender,ID,cute,rounded,streamlined,colorful,warning,speedy,powerful,reliable,elegant,friendly,rough,hard,aggressive,recognizable,specially-textured,beautiful-implied ,clever,leisurely,fashion-colored,majestic,specially-structured
dolphin,男,1,7,7,7,2,4,5,6,5,7,7,2,1,2,6,2,7,7,6,4,1,4
dolphin,男,2,6,7,7,2,1,6,5,6,6,6,3,2,2,2,1,6,7,6,2,2,6
dolphin,男,3,7,7,7,1,1,7,4,6,7,7,4,2,1,6,2,6,7,7,2,1,5
dolphin,男,4,7,7,7,1,1,7,7,7,7,6,6,3,7,6,2,7,7,7,1,7,7
dolphin,男,5,7,7,7,4,2,7,6,7,6,7,1,2,2,6,2,7,7,7,2,4,3
dolphin,男,6,6,5,5,5,5,5,4,5,5,5,4,5,5,5,5,5,5,5,5,5,5
dolphin,男,7,6,5,7,5,3,5,2,7,7,7,1,1,1,6,3,7,7,4,4,1,4
dolphin,男,8,5,6,7,4,3,5,5,4,5,6,4,4,3,6,5,6,6,5,4,4,5
dolphin,男,9,5,3,7,3,1,7,5,6,6,6,2,2,5,5,2,6,6,5,5,4,6
dolphin,男,10,6,5,7,4,2,6,5,3,6,6,1,3,3,6,5,6,7,6,3,6,5
dolphin,男,11,7,6,6,7,6,6,7,6,5,6,6,6,5,6,6,6,5,6,6,6,5
dolphin,男,12,6,5,7,1,1,6,3,2,7,6,1,1,2,7,1,6,7,5,2,2,4
dolphin,男,13,6,7,6,1,1,6,5,6,6,7,2,6,2,6,2,6,7,4,1,1,6
dolphin,男,14,6,6,6,3,3,6,5,5,2,6,2,2,4,7,4,4,7,4,6,3,2
dolphin,男,15,5,4,6,2,3,5,2,5,6,5,1,1,2,2,2,6,5,5,4,3,2
dolphin,男,16,7,7,7,4,1,6,5,5,6,7,4,4,4,6,4,6,7,6,4,4,5
dolphin,男,17,6,7,7,4,2,6,2,6,5,5,2,3,1,6,5,4,7,5,4,3,3
dolphin,男,18,7,7,7,2,1,7,6,6,6,7,1,5,2,6,4,5,6,6,2,3,5
dolphin,男,19,4,5,6,4,4,6,6,3,4,3,6,6,5,3,4,2,6,3,5,6,5
dolphin,男,20,5,6,7,4,1,6,6,5,6,4,2,3,4,6,4,7,7,6,4,4,6
dolphin,男,21,6,6,7,4,3,6,4,4,7,6,1,2,5,6,1,7,6,6,2,2,4
dolphin,男,22,7,7,6,1,1,6,6,6,6,6,1,1,1,1,1,6,7,7,7,7,5
dolphin,男,23,5,7,7,3,1,6,3,7,5,6,1,3,2,6,1,5,7,5,4,1,1
dolphin,男,24,6,7,7,2,1,7,5,5,5,5,2,5,2,5,1,5,6,5,3,4,2
dolphin,男,25,6,6,7,2,2,6,3,4,5,4,2,1,3,5,3,5,7,5,2,2,3
dolphin,男,26,6,5,6,3,3,5,5,5,5,6,4,2,2,5,4,5,6,4,3,4,4
dolphin,男,27,7,6,7,4,2,6,5,7,7,7,4,2,1,6,3,7,7,7,5,3,2
dolphin,男,28,6,6,7,4,3,6,5,6,7,7,4,4,2,6,5,6,6,5,5,5,4
dolphin,男,29,7,7,7,5,3,3,6,3,6,6,3,2,2,5,2,7,7,7,3,2,6
dolphin,男,30,3,4,4,1,1,3,4,4,3,4,6,6,5,5,3,4,4,4,2,1,4
dolphin,男,31,7,5,7,1,1,7,5,4,7,7,1,1,1,6,1,7,7,4,1,1,4
dolphin,男,32,7,6,6,4,2,6,6,6,6,6,2,2,2,6,5,6,6,6,5,5,5
dolphin,男,33,7,7,7,2,2,7,6,3,6,6,2,2,2,6,1,7,6,4,2,2,4
dolphin,男,34,3,5,5,2,1,5,4,4,5,3,4,2,4,5,2,1,6,6,1,2,2
dolphin,男,35,7,7,7,4,1,6,7,7,7,7,7,7,5,5,5,7,7,6,6,6,6
dolphin,男,36,2,2,5,4,4,5,5,5,5,5,3,3,4,4,3,5,4,3,5,5,4
dolphin,女,37,6,7,7,4,1,7,4,6,6,6,4,4,2,7,2,6,7,7,2,2,6
dolphin,女,38,5,5,7,1,1,6,5,2,5,5,1,3,2,6,2,7,7,4,1,1,6
dolphin,女,39,6,5,7,4,3,5,4,4,6,7,4,5,3,6,4,6,7,7,5,5,6
dolphin,女,40,7,7,7,1,1,7,7,6,7,7,1,1,1,6,4,7,7,4,1,2,4
dolphin,女,41,6,5,7,2,1,7,4,5,7,5,2,1,4,7,1,5,7,7,3,1,7
dolphin,女,42,6,6,6,3,3,5,5,5,5,5,2,3,3,5,3,5,5,5,3,2,5
dolphin,女,43,5,6,7,1,1,6,5,5,6,7,1,1,3,5,1,6,7,6,1,4,4
dolphin,女,44,7,5,7,2,1,3,4,6,6,6,2,3,2,7,2,6,6,5,2,2,4
dolphin,女,45,5,7,7,1,1,7,2,4,6,7,1,1,4,7,1,6,7,6,1,2,3
dolphin,女,46,7,6,7,1,1,7,4,7,7,7,1,4,1,7,1,7,7,5,1,2,4
dolphin,女,47,5,6,6,3,1,5,5,6,6,6,2,5,4,6,2,7,6,4,3,1,4
dolphin,女,48,5,4,7,3,1,5,5,6,6,7,3,3,3,6,3,7,6,7,5,1,5
dolphin,女,49,3,4,6,4,2,6,5,6,7,7,1,4,1,6,6,7,7,7,7,1,7
dolphin,女,50,6,7,7,3,3,3,6,7,6,7,2,2,1,5,3,7,7,7,3,3,4
dolphin,女,51,7,7,7,4,3,4,2,3,7,7,1,3,2,7,4,5,7,7,1,1,5
dolphin,女,52,6,7,7,3,4,5,4,5,6,6,2,2,4,6,3,4,4,5,2,2,6
dolphin,女,53,5,5,6,4,3,4,4,5,4,6,2,2,3,7,2,4,5,4,4,2,6
dolphin,女,54,7,7,7,4,4,4,6,7,6,7,3,3,2,7,4,7,7,5,4,2,5
